"","in_degree","out_degree","total_degree","btw_centrality","closeness_centrality","google_pagerank","address","clusters"
"0x54689fd2d989c0c0498c87794b93309bc3872c80",4,3,7,1841.29248559705,3.7180249851279e-05,0.00030505363698804,"0x54689fd2d989c0c0498c87794b93309bc3872c80",4
"0x0e41c9b548cf0545377aeeb693a6006172f1af81",3,1,4,0.432689947375474,3.25573823864561e-05,0.000198447544777915,"0x0e41c9b548cf0545377aeeb693a6006172f1af81",15
"0x2441f46002f1f733ce4bdc62dcf9d5dea357414c",2,1,3,3.39017077011609,3.68595650571323e-05,8.14204635619197e-05,"0x2441f46002f1f733ce4bdc62dcf9d5dea357414c",8
"0xa05321d99703df9f5cd06e1b434e5eaabb816ba3",2,3,5,5067.00000000001,3.65777826548155e-05,0.000385323187854197,"0xa05321d99703df9f5cd06e1b434e5eaabb816ba3",58
"0x9e9bf7495369e73e76e0f41c00481b16a270711c",3,3,6,5.32501046064537,3.60295442262655e-05,0.000181464782276914,"0x9e9bf7495369e73e76e0f41c00481b16a270711c",8
"0x2482dc04ac628a4b2700c071bfee557fd86c91ea",2,2,4,4.50489856342451,3.25711680020846e-05,8.14204635619197e-05,"0x2482dc04ac628a4b2700c071bfee557fd86c91ea",15
"0x57def36b14d04c5ef684d17b5d4fb527c3080808",1,1,2,0,3.7178867531695e-05,0.000123466830015678,"0x57def36b14d04c5ef684d17b5d4fb527c3080808",4
"0x5cac4a6ff0c0c90053f0204e8caf1b707bc307e6",3,6,9,129.197920826617,3.73566438791139e-05,8.2328342843823e-05,"0x5cac4a6ff0c0c90053f0204e8caf1b707bc307e6",10
"0xfc7c64e60425818f2ca2870ee2ca5c2b8644b24c",2,2,4,0,3.68554896251797e-05,0.000198412264494939,"0xfc7c64e60425818f2ca2870ee2ca5c2b8644b24c",8
"0xef4abc185aee1c78bbae3b5c29a36c21b93f6323",3,5,8,17.8635505356582,3.85490150726649e-05,0.000123575081171948,"0xef4abc185aee1c78bbae3b5c29a36c21b93f6323",9
